iter	Passed	Remaining
1099	12512	1125012
1100	12521	1124764
1101	12531	1124576
1102	12540	1124396
1103	12552	1124399
1104	12563	1124429
1105	12576	1124540
1106	12587	1124486
1107	12596	1124248
1108	12607	1124178
1109	12618	1124191
1110	12629	1124145
1111	12641	1124166
1112	12651	1124033
1113	12662	1124012
1114	12674	1124084
1115	12685	1123967
1116	12696	1123943
1117	12706	1123841
1118	12717	1123783
1119	12729	1123800
1120	12741	1123830
1121	12753	1123943
1122	12764	1123846
1123	12774	1123709
1124	12785	1123689
1125	12795	1123533
1126	12805	1123426
1127	12817	1123513
1128	12829	1123546
1129	12840	1123460
1130	12849	1123273
1131	12860	1123193
1132	12871	1123157
1133	12881	1123066
1134	12891	1122913
1135	12902	1122852
1136	12911	1122684
1137	12920	1122438
1138	12929	1122247
1139	12938	1122020
1140	12948	1121846
1141	12957	1121704
1142	12967	1121576
1143	12978	1121511
1144	12989	1121421
1145	12998	1121274
1146	13009	1121212
1147	13020	1121145
1148	13031	1121135
1149	13040	1120940
1150	13050	1120766
1151	13059	1120562
1152	13068	1120327
1153	13078	1120227
1154	13089	1120197
1155	13100	1120169
1156	13112	1120226
1157	13123	1120188
1158	13133	1120037
1159	13158	1121157
1160	13167	1120992
1161	13178	1120901
1162	13191	1121041
1163	13202	1121049
1164	13214	1121034
1165	13227	1121167
1166	13239	1121239
1167	13251	1121285
1168	13263	1121348
1169	13273	1121230
1170	13282	1121022
1171	13292	1120844
1172	13301	1120658
1173	13310	1120431
1174	13320	1120368
1175	13331	1120310
1176	13341	1120205
1177	13351	1120059
1178	13360	1119829
1179	13369	1119644
1180	13380	1119589
1181	13390	1119495
1182	13400	1119319
1183	13408	1119072
1184	13417	1118858
1185	13427	1118752
1186	13438	1118651
1187	13448	1118562
1188	13457	1118395
1189	13468	1118299
1190	13477	1118131
1191	13488	1118107
1192	13499	1118015
1193	13509	1117958
1194	13521	1117980
1195	13534	1118086
1196	13543	1117879
1197	13555	1117906
1198	13564	1117750
1199	13574	1117590
1200	13584	1117473
1201	13599	1117759
1202	13611	1117811
1203	13624	1117999
1204	13637	1118054
1205	13648	1118031
1206	13658	1117904
1207	13667	1117743
1208	13676	1117543
1209	13685	1117358
1210	13695	1117257
1211	13704	1117053
1212	13713	1116835
1213	13722	1116643
1214	13732	1116534
1215	13745	1116656
1216	13754	1116436
1217	13765	1116367
1218	13776	1116399
1219	13789	1116468
1220	13800	1116423
1221	13811	1116450
1222	13823	1116433
1223	13838	1116761
1224	13847	1116568
1225	13857	1116406
1226	13866	1116239
1227	13876	1116101
1228	13885	1115918
1229	13894	1115747
1230	13903	1115535
1231	13913	1115403
1232	13923	1115340
1233	13933	1115158
1234	13943	1115039
1235	13951	1114800
1236	13961	1114650
1237	13969	1114442
1238	13979	1114336
1239	13989	1114177
1240	13998	1113956
1241	14007	1113838
1242	14018	1113750
1243	14027	1113597
1244	14038	1113509
1245	14047	1113362
1246	14056	1113173
1247	14066	1113040
1248	14074	1112806
1249	14087	1112921
1250	14102	1113167
1251	14115	1113299
1252	14128	1113435
1253	14138	1113358
1254	14149	1113264
1255	14159	1113202
1256	14169	1113085
1257	14178	1112879
1258	14188	1112752
1259	14197	1112563
1260	14205	1112330
1261	14214	1112155
1262	14224	1112024
1263	14234	1111876
1264	14242	1111673
1265	14251	1111459
1266	14261	1111312
1267	14270	1111146
1268	14280	1111056
1269	14289	1110868
1270	14299	1110757
1271	14309	1110635
1272	14320	1110577
1273	14329	1110436
1274	14338	1110272
1275	14354	1110580
1276	14371	1111004
1277	14393	1111855
1278	14411	1112355
1279	14421	1112224
1280	14432	1112177
1281	14440	1111976
1282	14450	1111860
1283	14460	1111741
1284	14470	1111638
1285	14480	1111531
1286	14490	1111443
1287	14500	1111341
1288	14514	1111467
1289	14526	1111527
1290	14539	1111678
1291	14550	1111619
1292	14560	1111566
1293	14572	1111570
1294	14582	1111475
1295	14594	1111478
1296	14603	1111349
1297	14612	1111172
1298	14622	1111017
1299	14631	1110830
1300	14640	1110670
1301	14649	1110470
1302	14658	1110330
1303	14667	1110121
1304	14676	1109932
1305	14685	1109748
1306	14694	1109607
1307	14704	1109485
1308	14713	1109306
1309	14722	1109148
1310	14733	1109116
1311	14745	1109169
1312	14756	1109130
1313	14766	1109021
1314	14775	1108853
1315	14786	1108799
1316	14796	1108675
1317	14805	1108541
1318	14815	1108390
1319	14824	1108241
1320	14834	1108108
1321	14843	1107948
1322	14853	1107877
1323	14863	1107776
1324	14874	1107701
1325	14884	1107651
1326	14894	1107501
1327	14904	1107408
1328	14914	1107301
1329	14924	1107201
1330	14934	1107072
1331	14945	1107102
1332	14955	1106995
1333	14966	1106932
1334	14978	1107008
1335	14990	1107015
1336	15001	1107025
1337	15012	1107011
1338	15024	1107003
1339	15036	1107072
1340	15049	1107215
1341	15061	1107245
1342	15072	1107229
1343	15085	1107316
1344	15095	1107213
1345	15104	1107069
1346	15132	1108244
1347	15142	1108149
1348	15151	1108013
1349	15161	1107920
1350	15171	1107786
1351	15180	1107611
1352	15188	1107408
1353	15197	1107227
1354	15206	1107062
1355	15215	1106888
1356	15225	1106740
1357	15234	1106617
1358	15244	1106494
1359	15253	1106302
1360	15264	1106273
1361	15278	1106500
